name
PL-05703 Forvia 567L Xtemp Hot Cycle_1
Title
Cobra 1.3.00
Author
DAQ3.powertech.local
Log Rate = 0.500000

Time	RH	Ttank	Tamb	Tfuel	Fout	Ptank	SOC
2025-11-10 15:06:43.7967	100.036405	62.150000	52.439202	-15.988380	2.675205	71.218858	90.856284
2025-11-10 15:06:44.2967	100.101894	62.100000	52.462080	-15.956266	2.675917	71.197041	90.846456
2025-11-10 15:06:44.7967	100.068826	62.100000	52.454432	-15.941888	2.678169	71.201906	90.850831
2025-11-10 15:06:45.2967	100.016786	62.100000	52.437424	-15.945282	2.676536	71.198261	90.847554
2025-11-10 15:06:45.7967	99.813539	62.100000	52.458551	-15.925667	2.676408	71.186090	90.836610
2025-11-10 15:06:46.2967	100.049332	62.100000	52.454396	-15.900778	2.678251	71.166035	90.818575
2025-11-10 15:06:46.7967	100.226387	62.100000	52.457132	-15.879918	2.680509	71.151490	90.805494
2025-11-10 15:06:47.2967	99.938009	62.050000	52.465808	-15.883384	2.672869	71.144506	90.808996
2025-11-10 15:06:47.7967	99.787015	62.050000	52.444874	-15.852653	2.671853	71.135199	90.800624
2025-11-10 15:06:48.2967	99.826664	62.000098	52.462150	-15.848701	2.676280	71.129130	90.804950
2025-11-10 15:06:48.7967	100.128021	62.000000	52.465329	-15.828829	2.674109	71.123570	90.799948
2025-11-10 15:06:49.2967	100.108557	62.000098	52.445597	-15.815665	2.678344	71.121638	90.798209
2025-11-10 15:06:49.7967	100.010087	62.000000	52.461898	-15.801119	2.679726	71.113806	90.791161
2025-11-10 15:06:50.2967	99.793787	62.000000	52.449360	-15.779665	2.679214	71.089581	90.769361
2025-11-10 15:06:50.7967	99.839488	61.999902	52.459680	-15.760545	2.674774	71.095074	90.774304
2025-11-10 15:06:51.2967	100.036317	61.999902	52.471395	-15.747544	2.683107	71.072850	90.754301
2025-11-10 15:06:51.7967	99.826628	61.950000	52.455709	-15.740441	2.686191	71.080800	90.771243
2025-11-10 15:06:52.2967	99.911883	61.950000	52.448558	-15.741950	2.683881	71.050591	90.744048
2025-11-10 15:06:52.7967	99.990446	61.949902	52.477579	-15.702780	2.675664	71.055541	90.748505
2025-11-10 15:06:53.2967	99.983637	61.900000	52.463289	-15.684598	2.672735	71.044675	90.748507
2025-11-10 15:06:53.7967	100.102130	61.900000	52.463029	-15.667700	2.673710	71.030402	90.735654
2025-11-10 15:06:54.2967	99.990432	61.900000	52.479989	-15.649658	2.672327	71.031283	90.736447
2025-11-10 15:06:54.7967	99.924935	61.900000	52.462810	-15.627331	2.675569	71.022146	90.728219
2025-11-10 15:06:55.2967	99.905243	61.850000	52.467072	-15.628403	2.673038	71.005821	90.723301
2025-11-10 15:06:55.7967	100.088849	61.850000	52.478083	-15.615719	2.673299	70.989700	90.708778
2025-11-10 15:06:56.2967	100.055980	61.850000	52.459532	-15.595223	2.674353	70.985038	90.704578
2025-11-10 15:06:56.7967	99.820186	61.800098	52.470314	-15.576077	2.675415	70.970815	90.701550
2025-11-10 15:06:57.2967	99.813185	61.849902	52.468431	-15.562550	2.683473	70.962305	90.684095
2025-11-10 15:06:57.7967	99.911662	61.800000	52.461844	-15.536998	2.683709	70.956067	90.688259
2025-11-10 15:06:58.2967	100.226306	61.800000	52.485023	-15.516534	2.680511	70.954321	90.686685
2025-11-10 15:06:58.7967	99.780661	61.799902	52.455069	-15.512412	2.673002	70.954337	90.686701
2025-11-10 15:06:59.2967	99.787302	61.750000	52.451098	-15.497553	2.671004	70.934029	90.678183
2025-11-10 15:06:59.7967	100.141338	61.750000	52.478164	-15.461906	2.674232	70.918280	90.663986
2025-11-10 15:07:00.2967	100.114947	61.750000	52.458334	-15.449616	2.676969	70.926163	90.671092
2025-11-10 15:07:00.7967	100.101872	61.750000	52.467626	-15.440164	2.670852	70.910398	90.656879
2025-11-10 15:07:01.2967	100.174171	61.750000	52.461872	-15.441557	2.681280	70.905465	90.652431
2025-11-10 15:07:01.7967	99.754321	61.749902	52.463710	-15.400339	2.684330	70.882613	90.631825
2025-11-10 15:07:02.2967	100.292215	61.749902	52.468587	-15.389245	2.689262	70.892954	90.641150
2025-11-10 15:07:02.7967	100.114623	61.700000	52.476775	-15.376333	2.687463	70.861152	90.622254
2025-11-10 15:07:03.2967	100.010205	61.700000	52.453355	-15.355229	2.681654	70.866882	90.627422
2025-11-10 15:07:03.7967	99.892073	61.650000	52.474760	-15.344786	2.678136	70.865458	90.635925
